id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,960,996,956,995,982
2,960,998,956,995,982
3,959,989,960,989,979
4,957,999,956,992,983
5,962,993,956,995,978
6,964,988,960,996,976
7,960,993,960,989,979
8,957,995,958,992,982
9,961,996,956,994,980
10,962,993,960,989,977
11,963,992,955,998,976
12,957,999,956,995,980
13,959,998,956,993,982
14,961,994,955,995,980
15,960,993,959,992,978
16,960,995,957,992,979
17,959,995,957,992,980
18,962,988,959,996,976
19,960,993,958,992,979
20,961,993,958,992,977
21,958,992,959,988,977
22,960,998,956,993,980
23,962,992,957,996,977
24,962,991,959,996,978
25,962,992,958,995,979
26,959,995,960,992,982
27,958,997,959,989,983
28,963,988,955,999,976
29,964,988,960,996,976
30,964,992,960,992,977
31,964,988,960,996,977
32,961,993,958,992,979
33,962,994,958,993,979
34,959,995,960,992,981
35,958,995,959,992,982
36,963,992,957,996,980
37,962,992,957,994,979
38,961,993,958,995,980
39,962,995,958,992,981
40,960,994,958,992,980
41,964,994,957,995,980
42,960,995,959,992,979
43,960,995,958,993,982
44,961,994,958,995,980
45,961,997,957,993,981
46,963,990,955,998,980
47,964,992,959,994,977
48,960,998,958,992,983
49,961,994,956,997,980
50,962,991,959,996,978
51,959,997,957,993,982
52,960,995,959,990,981
53,962,993,958,994,979
54,963,990,953,998,976
55,959,998,957,993,983
56,961,992,957,995,980
57,962,993,959,991,981
58,959,997,958,992,983
59,963,990,955,998,976
60,960,993,960,993,981
61,960,996,956,993,983
62,961,994,957,995,982
63,964,989,960,996,977
64,959,995,958,992,983
65,962,990,959,996,976
66,961,994,957,993,982
67,961,994,956,995,981
68,960,999,956,993,980
69,959,993,960,990,977
70,963,994,957,995,976
71,962,993,957,994,976
72,964,992,959,994,976
73,985,997,958,993,980
74,967,995,957,994,978
75,972,993,962,989,979
76,961,998,956,993,980
77,987,991,957,996,976
78,963,999,958,993,982
79,968,993,959,993,977
80,987,1002,952,995,984
81,967,996,955,995,980
82,977,997,958,991,979
83,968,995,960,990,977
84,988,988,955,996,976
85,956,995,978,992,978
86,963,1000,953,995,996
87,984,993,996,990,993
88,963,996,954,995,994
89,966,989,960,998,986
90,976,998,958,992,983
91,971,995,957,993,915
92,964,990,959,996,913
93,961,997,958,993,921
94,967,988,960,996,928
95,964,992,959,991,981
96,959,997,955,999,922
97,961,995,959,992,907
98,963,992,957,996,912
99,962,994,958,992,909
100,961,992,957,996,915
101,959,995,957,993,911
102,960,992,960,994,912
103,959,994,959,994,903
104,962,988,957,998,921
105,958,997,958,992,919
106,961,996,958,994,919
107,961,994,959,994,912
108,962,992,961,994,965
109,959,993,964,988,993
110,962,992,960,996,989
111,963,998,958,993,998
112,965,996,957,995,993
113,961,999,958,993,998
114,965,996,957,995,993
115,961,998,957,995,996
116,964,991,960,996,992
117,959,995,960,992,967
118,966,992,959,996,992
119,963,996,957,996,994
120,961,995,959,993,995
121,961,998,959,993,996
122,961,999,958,993,998
123,966,996,956,997,994
124,967,994,956,997,910
125,965,993,959,994,993
126,961,998,957,993,970
127,966,990,957,996,938
128,962,995,957,993,926
129,963,998,956,993,918
130,960,995,961,992,914
131,963,994,957,997,912
132,962,995,959,993,918
133,963,992,958,996,878
134,963,994,956,995,880
135,966,989,960,994,912
136,961,998,956,993,935
137,964,990,960,996,959
138,966,995,957,993,876
139,962,993,962,990,883
140,963,991,957,994,880
141,963,995,958,992,885
142,961,998,954,993,924
143,961,994,959,992,973
144,966,988,960,998,949
145,963,996,955,995,994
146,965,994,956,995,993
147,961,999,952,993,998
148,965,993,958,994,993
149,961,999,953,995,998
150,963,994,957,997,994
151,964,993,958,992,987
152,963,994,955,999,991
153,960,995,960,992,995
154,962,996,957,993,995
155,964,992,959,996,992
156,963,996,956,995,996
157,964,993,959,993,993
158,963,996,957,995,996
159,959,995,962,992,994
160,961,994,957,994,994
161,962,991,957,998,992
162,964,988,960,996,989
163,961,993,958,992,993
164,960,993,959,993,992
165,960,997,958,992,995
166,967,988,959,998,988
167,964,994,959,993,990
168,966,992,961,991,992
169,963,996,957,995,996
170,966,992,959,994,992
171,963,996,957,995,996
172,961,998,956,995,996
173,963,995,959,989,995
174,963,996,953,999,994
175,965,992,959,996,992
176,964,992,961,992,991
177,963,997,958,990,995
178,966,989,960,996,989
179,966,988,957,998,989
180,964,995,958,991,995
181,965,992,958,996,976
182,960,993,956,989,982
183,964,993,961,990,987
184,963,995,970,992,978
185,971,997,996,991,993
186,975,990,960,996,990
187,987,998,957,994,996
188,964,995,960,992,995
189,967,994,958,997,993
190,974,992,959,998,992
191,964,995,959,990,995
192,964,993,960,994,993
193,964,993,962,991,993
194,961,994,959,996,994
195,955,996,955,998,992
196,921,995,959,993,991
197,918,993,963,994,991
198,920,995,964,990,995
199,910,994,961,997,992
200,911,994,961,994,993
