id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,1023,934,983,984,1010
2,1023,935,984,984,1010
3,1023,935,984,985,1011
4,1023,935,983,985,1011
5,1023,934,984,985,1011
6,1023,935,984,985,1013
7,1023,935,984,984,1014
8,1023,935,983,984,1014
9,1023,935,984,985,1014
10,1023,935,984,985,1014
11,1023,935,983,985,1013
12,1023,934,984,985,1012
13,1023,936,984,985,1011
14,1023,936,984,986,1012
15,1023,935,984,986,1013
16,1023,936,984,986,1013
17,1023,938,984,985,1013
18,1023,937,983,986,1011
19,1023,937,984,985,1012
20,1023,938,983,986,1011
21,1023,938,983,986,1009
22,1023,938,983,986,1009
23,1023,938,983,986,1008
24,1023,936,983,986,1010
25,1023,938,981,985,1009
26,1023,938,980,965,1017
27,1023,938,980,985,1004
28,1023,938,982,985,1009
29,1023,938,982,985,1009
30,1023,938,982,985,1009
31,1023,936,981,985,1009
32,1023,936,981,985,1009
33,1023,937,981,985,1009
34,1023,938,976,984,1009
35,1023,938,980,984,1009
36,1023,938,979,985,1010
37,1023,938,976,985,1009
38,1023,938,981,987,1017
39,1023,939,979,986,1015
40,1023,943,979,986,1016
41,1023,941,978,987,1020
42,1023,941,977,986,1015
43,1023,940,974,986,1018
44,1023,941,953,986,1019
45,1023,941,931,985,1019
46,1023,941,931,986,1020
47,1023,941,921,985,1011
48,1023,940,923,986,1014
49,1023,940,919,985,1014
50,1023,939,912,985,1013
51,1023,940,909,985,1013
52,1023,941,907,985,1011
53,1023,941,907,985,1013
54,1023,941,907,985,1009
55,1023,940,912,985,1008
56,1023,941,1023,996,1014
57,1023,941,927,996,1012
58,1023,941,940,995,1011
59,1023,941,954,995,1008
60,1023,941,972,995,1011
61,1023,941,978,995,1019
62,1023,941,982,995,1019
63,1023,941,984,995,1021
64,1023,941,992,996,1021
65,1023,941,987,998,1014
66,1023,941,992,998,1014
67,1023,941,985,998,1014
68,1023,942,988,997,1014
69,1023,940,986,997,1013
70,1023,941,986,998,1013
71,1023,941,978,998,1013
72,1023,941,971,994,1013
73,1023,942,964,986,1012
74,1023,941,935,986,1013
75,1023,941,927,984,1013
76,1023,940,923,985,1013
77,1023,940,919,985,1013
78,1023,941,913,984,1012
79,1023,941,911,984,1011
80,1023,940,907,984,1010
81,1023,941,907,984,1011
82,1023,940,903,984,1011
83,1023,939,904,984,1011
84,1023,938,903,984,1010
85,1023,939,906,984,1011
86,1023,939,907,984,1010
87,1023,939,1023,984,1010
88,1023,939,1023,984,1011
89,1023,939,935,983,1012
90,1023,939,1023,983,1012
91,1023,939,1023,984,1012
92,1023,940,914,984,1012
93,1023,940,931,984,1018
94,1023,940,953,984,1015
95,1023,940,972,984,1008
96,1023,941,977,984,1009
97,1023,941,983,984,1010
98,1023,940,986,984,1010
99,1023,939,983,984,1012
100,1023,941,979,983,1011
101,1023,941,980,990,1010
102,1023,936,981,990,1012
103,1023,938,980,993,1015
104,1023,941,979,993,1016
105,1023,939,982,994,1011
106,1023,933,977,990,1017
107,1023,941,981,989,1020
108,1023,941,978,990,1019
109,1023,938,979,1023,1019
110,1023,943,979,985,1018
111,1023,936,978,986,1017
112,1023,943,978,987,1017
113,1023,941,979,987,1017
114,1023,928,979,986,1016
115,1023,894,978,987,1020
116,1023,868,978,986,1020
117,1023,861,979,986,1016
118,1023,855,979,986,1017
119,1023,845,978,987,1016
120,1023,841,977,986,1016
121,1023,836,977,986,1016
122,1023,830,979,987,1016
123,1023,836,979,987,1016
124,1023,832,979,987,1016
125,1023,836,977,987,1016
126,1023,834,979,987,1016
127,1023,834,979,987,1020
128,1023,834,979,987,1016
129,1023,836,979,987,1016
130,1023,835,978,987,1016
131,1023,838,978,987,1016
132,1023,839,978,987,1016
133,1023,848,979,986,1016
134,1023,855,978,986,1016
135,1023,882,978,986,1015
136,1023,896,978,987,1016
137,1023,902,979,986,1015
138,1023,922,977,987,1016
139,1023,927,978,987,1016
140,1023,934,980,986,1016
141,1023,939,978,986,1016
142,1023,944,978,986,1016
143,1023,945,977,986,1016
144,1023,944,976,987,1016
145,1023,947,977,986,1015
146,1023,947,977,986,1016
147,1023,945,978,987,1015
148,1023,937,978,987,1016
149,1023,936,976,987,1016
150,1023,937,977,986,1017
151,1023,931,978,986,1017
152,1023,936,977,987,1020
153,1023,927,977,986,1018
154,1023,934,976,986,1020
155,1023,932,976,986,1015
156,1023,904,976,986,1015
157,1023,890,976,986,1015
158,1023,862,976,986,1015
159,1023,837,976,986,1015
160,1023,835,977,986,1015
161,1023,834,976,986,1015
162,1023,826,976,986,1015
163,1023,826,976,986,1015
164,1023,829,976,986,1015
165,1023,830,976,986,1015
166,1023,826,976,986,1015
167,1023,829,976,987,1015
168,1023,829,976,986,1015
169,1023,832,976,986,1015
170,1023,836,977,986,1015
171,1023,854,977,987,1015
172,1023,861,977,987,1015
173,1023,891,977,985,1015
174,1023,897,978,985,1015
175,1023,899,978,985,1015
176,1023,901,977,985,1015
177,1023,907,977,984,1015
178,1023,905,977,985,1014
179,1023,911,976,985,1015
180,1023,911,977,985,1015
181,1023,912,976,985,1014
182,1023,912,976,985,1014
183,1023,911,976,985,1015
184,1023,915,976,985,1014
185,1023,913,976,985,1014
186,1023,913,976,985,1014
187,1023,911,977,985,1014
188,1023,913,975,985,1014
189,1023,916,977,985,1014
190,1023,915,978,985,1014
191,1023,911,976,985,1014
192,1023,913,977,985,1014
193,1023,914,977,985,1014
194,1023,915,977,984,1014
195,1023,916,976,985,1015
196,1023,916,976,991,1014
197,1023,913,976,991,1014
198,1023,914,976,989,1014
199,1023,913,976,992,1014
200,1023,914,977,992,1015
201,1023,914,977,991,1015
202,1023,915,980,989,1015
203,1023,916,981,987,1016
204,1023,917,980,976,1016
205,1023,916,979,978,1016
206,1023,917,978,984,1015
207,1023,916,978,963,1015
208,1023,915,978,963,1012
209,1023,914,979,932,1011
210,1023,913,979,925,1013
211,1023,914,979,924,1013
212,1023,913,979,916,1012
213,1023,914,982,912,1012
214,1023,919,978,915,1012
215,1023,922,982,909,1015
216,1023,919,979,898,1013
217,1023,920,978,897,1013
218,1023,921,979,899,1017
219,1023,921,977,905,1019
220,1023,921,979,903,1015
221,1023,920,979,897,1017
222,1023,919,978,893,1016
223,1023,919,978,891,1017
224,1023,918,978,889,1015
225,1023,917,978,888,1015
226,1023,917,978,885,1017
227,1023,916,978,885,1016
228,1023,917,978,887,1015
229,1023,918,978,884,1015
230,1023,919,978,885,1015
231,1023,916,978,893,1014
232,1023,918,981,904,1018
233,1023,917,979,938,1021
234,1023,917,979,968,1020
235,1023,916,979,999,1020
236,1023,917,980,1010,1020
237,1023,916,981,996,1020
238,1023,917,978,985,1020
239,1023,916,978,978,1020
240,1023,916,978,991,1020
241,1023,916,979,983,1020
242,1023,916,977,986,1020
243,1023,917,978,985,1020
244,1023,917,978,985,1020
245,1023,917,978,982,1020
246,1023,917,978,981,1020
247,1023,916,978,981,1020
248,1023,916,978,966,1020
249,1023,916,977,962,1020
250,1023,917,977,955,1020
251,1023,917,977,945,1020
252,1023,916,978,942,1020
253,1023,915,979,917,1020
254,1023,916,983,915,1021
255,1023,916,983,909,1021
256,1023,915,979,909,1021
257,1023,915,979,908,1021
258,1023,915,978,902,1021
259,1023,913,982,893,1021
260,1023,916,982,886,1020
261,1023,915,982,884,1021
262,1023,914,982,885,1021
263,1023,913,982,885,1021
264,1023,914,982,888,1021
265,1023,914,983,887,1021
266,1023,913,982,887,1021
267,1023,913,983,884,1022
268,1023,914,982,883,1022
269,1023,913,982,880,1022
270,1023,912,982,880,1022
271,1023,914,982,894,1022
272,1023,914,982,927,1022
273,1023,913,982,960,1022
274,1023,913,982,978,1020
275,1023,913,982,1001,1020
276,1023,917,982,1011,1020
277,1023,918,981,1006,1020
278,1023,909,980,1000,1019
279,1023,909,978,998,1018
280,1023,910,980,995,1018
281,1023,917,982,993,1019
282,1023,918,981,990,1019
283,1023,918,981,987,1019
284,1023,917,981,987,1020
285,1023,917,981,986,1018
286,1023,917,981,985,1016
287,1023,917,981,982,1019
288,1023,917,981,1008,1018
289,1023,917,981,982,1014
290,1023,917,981,987,1010
291,1023,917,981,985,1014
292,1023,914,981,983,1020
293,1023,916,981,983,1010
294,1023,917,981,980,1008
295,1023,916,981,979,1000
296,1023,917,981,980,999
297,1023,916,981,979,999
298,1023,916,981,975,936
299,1023,916,981,976,924
300,1023,916,981,976,920
301,1023,915,981,976,904
302,1023,915,981,976,894
303,1023,916,981,976,903
304,1023,917,981,976,883
305,1023,917,981,979,872
306,1023,917,982,978,873
307,1023,919,981,983,871
308,1023,919,981,984,875
309,1023,919,981,986,874
310,1023,918,981,992,889
311,1023,918,981,987,920
312,1023,919,982,983,868
313,1023,918,982,984,873
314,1023,920,981,982,875
315,1023,921,982,981,875
316,1023,918,982,981,876
317,1023,917,981,981,878
318,1023,920,982,981,879
319,1023,921,981,980,881
320,1023,919,981,980,879
321,1023,919,981,980,880
322,1023,920,982,982,888
323,1023,919,981,977,903
324,1023,919,982,979,953
325,1023,917,982,979,949
326,1023,920,982,979,1010
327,1023,920,982,980,1017
328,1023,920,982,979,1017
329,1023,920,982,979,1023
330,1023,920,981,978,1023
331,1023,920,981,976,1023
332,1023,920,982,978,1021
333,1023,920,983,976,1010
334,1023,920,982,976,1013
335,1023,920,983,976,1017
336,1023,920,982,976,1023
337,1023,921,982,977,1023
338,1023,920,981,977,1023
339,1023,920,982,976,1023
340,1023,920,982,977,1023
341,1023,920,982,976,1022
342,1023,919,982,976,1021
343,1023,920,982,977,1019
344,1023,920,983,975,1000
345,1023,916,983,975,965
346,1023,920,983,975,997
347,1023,920,983,976,997
348,1023,919,983,975,879
349,1023,920,982,975,881
350,1023,920,982,974,878
351,1023,920,983,974,873
352,1023,921,983,974,870
353,1023,920,983,975,869
354,1023,920,983,975,868
355,1023,920,983,974,867
356,1023,920,983,975,867
357,1023,920,983,975,867
358,1023,921,983,975,871
359,1023,921,982,976,880
360,1023,921,983,975,984
361,1023,920,983,975,969
362,1023,921,983,976,1009
363,1023,921,983,975,1020
364,1023,921,983,975,1023
365,1023,921,983,975,1021
366,1023,921,984,975,1021
367,1023,921,984,976,1023
368,1023,921,984,975,1023
369,1023,920,984,976,1023
370,1023,920,983,976,1023
371,1023,920,983,978,1023
372,1023,920,983,977,1020
373,1023,920,983,977,1021
374,1023,918,983,979,1023
375,1023,919,983,976,1023
376,1023,920,983,976,1023
377,1023,919,982,974,1020
378,1023,918,982,974,1023
379,1023,919,982,975,1022
380,1023,919,982,976,1023
381,1023,920,980,976,1023
382,1023,919,980,975,1022
383,1023,919,981,974,1021
384,1023,919,983,976,1022
385,1023,921,983,976,1022
386,1022,920,983,977,1022
387,1023,920,983,976,1023
388,1023,921,983,976,1021
389,1023,922,983,975,1022
390,1023,922,983,975,1022
391,1023,923,984,976,1022
392,1023,923,983,976,1022
393,1023,920,984,976,1019
394,1023,921,983,981,1018
395,1023,923,983,977,1017
396,1023,920,984,976,1016
397,1020,921,983,977,1016
398,1018,921,983,977,1019
399,1017,922,982,978,1019
400,1023,922,983,977,1018
